T,Vgs,Vds,Id,Cgs,Cgd,Cds
300.0,0.0,0.0,0.0,0.0,0.0,1e-12
300.0,0.0,100.0,0.0,0.0,0.0,8.337470009355458e-14
300.0,0.0,200.0,0.0,0.0,0.0,5.90575374144646e-14
300.0,0.0,300.0,0.0,0.0,0.0,4.824833223044731e-14
300.0,0.0,400.0,0.0,0.0,0.0,4.1796445423175375e-14
300.0,0.0,500.0,0.0,0.0,0.0,3.7390409735168326e-14
300.0,0.0,600.0,0.0,0.0,0.0,3.413659534382499e-14
300.0,0.0,700.0,0.0,0.0,0.0,3.16069770620507e-14
300.0,0.0,800.0,0.0,0.0,0.0,2.956746597759446e-14
300.0,2.5,0.0,0.0,3e-12,,1e-12
300.0,2.5,100.0,5.0913576446280966e-08,3e-12,1.9790753919253755e-08,8.337470009355458e-14
300.0,2.5,200.0,8.485596074380162e-08,3e-12,1.7406108938616183e-08,5.90575374144646e-14
300.0,2.5,300.0,1.1879834504132225e-07,3e-12,1.6114748719047134e-08,4.824833223044731e-14
300.0,2.5,400.0,1.527407293388429e-07,3e-12,1.5242754067879047e-08,4.1796445423175375e-14
300.0,2.5,500.0,1.8668311363636354e-07,3e-12,1.459113611810064e-08,3.7390409735168326e-14
300.0,2.5,600.0,2.206254979338842e-07,3e-12,1.4074555317664698e-08,3.413659534382499e-14
300.0,2.5,700.0,2.545678822314048e-07,3e-12,1.364877960482529e-08,3.16069770620507e-14
300.0,2.5,800.0,2.885102665289255e-07,3e-12,1.3288020033388e-08,2.956746597759446e-14
300.0,5.0,0.0,0.0,3e-12,,1e-12
300.0,5.0,100.0,3.6205209917355354e-07,3e-12,1.9882322447223896e-08,8.337470009355458e-14
300.0,5.0,200.0,6.034201652892558e-07,3e-12,1.744736057704185e-08,5.90575374144646e-14
300.0,5.0,300.0,8.447882314049582e-07,3e-12,1.6140657871096146e-08,4.824833223044731e-14
300.0,5.0,400.0,1.0861562975206606e-06,3e-12,1.5261372934709463e-08,4.1796445423175375e-14
300.0,5.0,500.0,1.327524363636363e-06,3e-12,1.4605538624778596e-08,3.7390409735168326e-14
300.0,5.0,600.0,1.5688924297520652e-06,3e-12,1.4086227562939843e-08,3.413659534382499e-14
300.0,5.0,700.0,1.8102604958677675e-06,3e-12,1.3658548424285556e-08,3.16069770620507e-14
300.0,5.0,800.0,2.0516285619834698e-06,3e-12,1.3296390808583793e-08,2.956746597759446e-14
300.0,7.5,0.0,0.0,3e-12,,1e-12
300.0,7.5,100.0,9.560438243801647e-07,3e-12,1.997661338435306e-08,8.337470009355458e-14
300.0,7.5,200.0,1.5934063739669413e-06,3e-12,1.748921172104747e-08,5.90575374144646e-14
300.0,7.5,300.0,2.2307689235537176e-06,3e-12,1.616681704147038e-08,4.824833223044731e-14
300.0,7.5,400.0,2.8681314731404942e-06,3e-12,1.5280126486326513e-08,4.1796445423175375e-14
300.0,7.5,500.0,3.505494022727271e-06,3e-12,1.4620024524419703e-08,3.7390409735168326e-14
300.0,7.5,600.0,4.142856572314047e-06,3e-12,1.4097956178835165e-08,3.413659534382499e-14
300.0,7.5,700.0,4.7802191219008236e-06,3e-12,1.3668357722738486e-08,3.16069770620507e-14
300.0,7.5,800.0,5.4175816714876e-06,3e-12,1.330479196488287e-08,2.956746597759446e-14
300.0,10.0,0.0,0.0,3e-12,,1e-12
300.0,10.0,100.0,1.8328887520661144e-06,3e-12,2.0073783579970085e-08,8.337470009355458e-14
300.0,10.0,200.0,3.0548145867768577e-06,3e-12,1.753167890878484e-08,5.90575374144646e-14
300.0,10.0,300.0,4.2767404214876005e-06,3e-12,1.6193230774017333e-08,4.824833223044731e-14
300.0,10.0,400.0,5.498666256198344e-06,3e-12,1.5299016549542643e-08,4.1796445423175375e-14
300.0,10.0,500.0,6.720592090909087e-06,3e-12,1.4634594719735467e-08,3.7390409735168326e-14
300.0,10.0,600.0,7.94251792561983e-06,3e-12,1.4109741673208643e-08,3.413659534382499e-14
300.0,10.0,700.0,9.164443760330573e-06,3e-12,1.3678207812562988e-08,3.16069770620507e-14
300.0,10.0,800.0,1.0386369595041316e-05,3e-12,1.3313223707363228e-08,2.956746597759446e-14
300.0,12.5,0.0,0.0,3e-12,,1e-12
300.0,12.5,100.0,2.992586882231403e-06,3e-12,2.0174003585778635e-08,8.337470009355458e-14
300.0,12.5,200.0,4.987644803719005e-06,3e-12,1.7574779358134933e-08,5.90575374144646e-14
300.0,12.5,300.0,6.982702725206607e-06,3e-12,1.621990373488307e-08,4.824833223044731e-14
300.0,12.5,400.0,8.97776064669421e-06,3e-12,1.5318044987749475e-08,4.1796445423175375e-14
300.0,12.5,500.0,1.097281856818181e-05,3e-12,1.4649250127833805e-08,3.7390409735168326e-14
300.0,12.5,600.0,1.2967876489669414e-05,3e-12,1.4121584560649522e-08,3.413659534382499e-14
300.0,12.5,700.0,1.4962934411157014e-05,3e-12,1.3688099009680652e-08,3.16069770620507e-14
300.0,12.5,800.0,1.6957992332644618e-05,3e-12,1.3321686243135511e-08,2.956746597759446e-14
300.0,15.0,0.0,0.0,3e-12,,1e-12
300.0,15.0,100.0,4.435138214876031e-06,3e-12,2.0277459286020994e-08,8.337470009355458e-14
300.0,15.0,200.0,7.391897024793384e-06,3e-12,1.761853100411231e-08,5.90575374144646e-14
300.0,15.0,300.0,1.0348655834710739e-05,3e-12,1.6246840716895297e-08,4.824833223044731e-14
300.0,15.0,400.0,1.3305414644628092e-05,3e-12,1.5337213701890353e-08,4.1796445423175375e-14
300.0,15.0,500.0,1.6262173454545446e-05,3e-12,1.4663991680523365e-08,3.7390409735168326e-14
300.0,15.0,600.0,1.92189322644628e-05,3e-12,1.4133485362596444e-08,3.413659534382499e-14
300.0,15.0,700.0,2.2175691074380152e-05,3e-12,1.3698031633608916e-08,3.16069770620507e-14
300.0,15.0,800.0,2.513244988429751e-05,3e-12,1.333017978136969e-08,2.956746597759446e-14
300.0,17.5,0.0,0.0,3e-12,,1e-12
300.0,17.5,100.0,6.160542749999997e-06,3e-12,2.0384353776335606e-08,8.337470009355458e-14
300.0,17.5,200.0,1.0267571249999994e-05,3e-12,1.7662952538863996e-08,5.90575374144646e-14
300.0,17.5,300.0,1.4374599749999992e-05,3e-12,1.6274046644143422e-08,4.824833223044731e-14
300.0,17.5,400.0,1.848162824999999e-05,3e-12,1.535652463146529e-08,4.1796445423175375e-14
300.0,17.5,500.0,2.2588656749999986e-05,3e-12,1.4678820324625907e-08,3.7390409735168326e-14
300.0,17.5,600.0,2.6695685249999987e-05,3e-12,1.4145444607458161e-08,3.413659534382499e-14
300.0,17.5,700.0,3.080271374999998e-05,3e-12,1.3708006007515162e-08,3.16069770620507e-14
300.0,17.5,800.0,3.490974224999998e-05,3e-12,1.3338704533322059e-08,2.956746597759446e-14
300.0,20.0,0.0,0.0,3e-12,,1e-12
300.0,20.0,100.0,8.1688004876033e-06,3e-12,2.0494909538133653e-08,8.337470009355458e-14
300.0,20.0,200.0,1.3614667479338835e-05,3e-12,1.770806345448126e-08,5.90575374144646e-14
300.0,20.0,300.0,1.906053447107437e-05,3e-12,1.6301526576766214e-08,4.824833223044731e-14
300.0,20.0,400.0,2.45064014628099e-05,3e-12,1.5375979755569487e-08,4.1796445423175375e-14
300.0,20.0,500.0,2.9952268454545435e-05,3e-12,1.4693737022296972e-08,3.7390409735168326e-14
