T,Vgs,Vds,Id,Cgs,Cgd,Cds
300.0,0.0,0.0,0.0,0.0,0.0,1e-12
300.0,0.0,0.5,0.0,0.0,0.0,7.637626158259732e-13
300.0,0.0,1.0,0.0,0.0,0.0,6.416889479197479e-13
300.0,0.0,1.5,0.0,0.0,0.0,5.640760748177662e-13
300.0,0.0,2.0,0.0,0.0,0.0,5.091750772173155e-13
300.0,0.0,2.5,0.0,0.0,0.0,4.677071733467426e-13
300.0,0.0,3.0,0.0,0.0,0.0,4.3495883620084003e-13
300.0,0.5,0.0,0.0,0.0,0.0,1e-12
300.0,0.5,0.5,0.0,0.0,0.0,7.637626158259732e-13
300.0,0.5,1.0,0.0,0.0,0.0,6.416889479197479e-13
300.0,0.5,1.5,0.0,0.0,0.0,5.640760748177662e-13
300.0,0.5,2.0,0.0,0.0,0.0,5.091750772173155e-13
300.0,0.5,2.5,0.0,0.0,0.0,4.677071733467426e-13
300.0,0.5,3.0,0.0,0.0,0.0,4.3495883620084003e-13
300.0,1.0,0.0,0.0,0.0,0.0,1e-12
300.0,1.0,0.5,0.0,0.0,0.0,7.637626158259732e-13
300.0,1.0,1.0,0.0,0.0,0.0,6.416889479197479e-13
300.0,1.0,1.5,0.0,0.0,0.0,5.640760748177662e-13
300.0,1.0,2.0,0.0,0.0,0.0,5.091750772173155e-13
300.0,1.0,2.5,0.0,0.0,0.0,4.677071733467426e-13
300.0,1.0,3.0,0.0,0.0,0.0,4.3495883620084003e-13
300.0,1.5,0.0,0.0,2.3e-13,1.15e-13,1e-12
300.0,1.5,0.5,0.0021778125000000005,1.15e-13,0.0,7.637626158259732e-13
300.0,1.5,1.0,0.002199375000000001,1.15e-13,0.0,6.416889479197479e-13
300.0,1.5,1.5,0.0022209375000000007,1.15e-13,0.0,5.640760748177662e-13
300.0,1.5,2.0,0.0022425000000000006,1.15e-13,0.0,5.091750772173155e-13
300.0,1.5,2.5,0.002264062500000001,1.15e-13,0.0,4.677071733467426e-13
300.0,1.5,3.0,0.0022856250000000008,1.15e-13,0.0,4.3495883620084003e-13
300.0,2.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
300.0,2.0,0.5,0.006468750000000002,2.3e-13,1.15e-13,7.637626158259732e-13
300.0,2.0,1.0,0.008797500000000003,1.15e-13,0.0,6.416889479197479e-13
300.0,2.0,1.5,0.008883750000000003,1.15e-13,0.0,5.640760748177662e-13
300.0,2.0,2.0,0.008970000000000002,1.15e-13,0.0,5.091750772173155e-13
300.0,2.0,2.5,0.009056250000000004,1.15e-13,0.0,4.677071733467426e-13
300.0,2.0,3.0,0.009142500000000003,1.15e-13,0.0,4.3495883620084003e-13
300.0,2.5,0.0,0.0,2.3e-13,1.15e-13,1e-12
300.0,2.5,0.5,0.010781250000000003,2.3e-13,1.15e-13,7.637626158259732e-13
300.0,2.5,1.0,0.017250000000000005,2.3e-13,1.15e-13,6.416889479197479e-13
300.0,2.5,1.5,0.019988437500000008,1.15e-13,0.0,5.640760748177662e-13
